scenarioName,seriesName,period,value
Mitigation_CAP21_A25E65,FT_IND,2018,0.400294705130391
Mitigation_CAP21_A25E65,FT_IND,2019,0.41021961217052
Mitigation_CAP21_A25E65,FT_IND,2020,0.404779658373
Mitigation_CAP21_A25E65,FT_IND,2021,0.41264268826661
Mitigation_CAP21_A25E65,FT_IND,2022,0.418837462966206
Mitigation_CAP21_A25E65,FT_IND,2023,0.425165899110337
Mitigation_CAP21_A25E65,FT_IND,2024,0.431637983718429
Mitigation_CAP21_A25E65,FT_IND,2025,0.361120012558491
Mitigation_CAP21_A25E65,FT_IND,2026,0.358113976148938
Mitigation_CAP21_A25E65,FT_IND,2027,0.34964908044663
Mitigation_CAP21_A25E65,FT_IND,2028,0.341040945118261
Mitigation_CAP21_A25E65,FT_IND,2029,0.332290492788649
Mitigation_CAP21_A25E65,FT_IND,2030,0.323395359233701
Mitigation_CAP21_A25E65,FT_IND,2031,0.309700104596682
Mitigation_CAP21_A25E65,FT_IND,2032,0.296264414840701
Mitigation_CAP21_A25E65,FT_IND,2033,0.282550425747052
Mitigation_CAP21_A25E65,FT_IND,2034,0.268552699349561
Mitigation_CAP21_A25E65,FT_IND,2035,0.481396154920986
Mitigation_CAP21_A25E65,FT_IND,2036,0.486188973401549
Mitigation_CAP21_A25E65,FT_IND,2037,0.49085965560631
Mitigation_CAP21_A25E65,FT_IND,2038,0.498631123216434
Mitigation_CAP21_A25E65,FT_IND,2039,0.503489939196069
Mitigation_CAP21_A25E65,FT_IND,2040,0.508428125515736
Mitigation_CAP21_A25E65,FT_IND,2041,0.513448285190448
Mitigation_CAP21_A25E65,FT_IND,2042,0.518412076810592
Mitigation_CAP21_A25E65,FT_IND,2043,0.128247947502184
Mitigation_CAP21_A25E65,FT_IND,2044,0.111005355953547
Mitigation_CAP21_A25E65,FT_IND,2045,0.0934189944919002
Mitigation_CAP21_A25E65,FT_IND,2046,0.0754798574276373
Mitigation_CAP21_A25E65,FT_IND,2047,0.0571786491295513
Mitigation_CAP21_A25E65,FT_IND,2048,0.0385052204659491
Mitigation_CAP21_A25E65,FT_IND,2049,0.0194492458200123
Mitigation_CAP21_A25E65,FT_RSD,2018,45.6682838800964
Mitigation_CAP21_A25E65,FT_RSD,2019,35.535893389821
Mitigation_CAP21_A25E65,FT_RSD,2020,37.2408393482156
Mitigation_CAP21_A25E65,FT_RSD,2021,34.6260581405172
Mitigation_CAP21_A25E65,FT_RSD,2022,32.4067485944942
Mitigation_CAP21_A25E65,FT_RSD,2023,30.3871893830828
Mitigation_CAP21_A25E65,FT_RSD,2024,27.3220415035382
Mitigation_CAP21_A25E65,FT_RSD,2025,23.5927351141264
Mitigation_CAP21_A25E65,FT_RSD,2026,18.6681374904745
Mitigation_CAP21_A25E65,FT_RSD,2027,15.3731590690357
Mitigation_CAP21_A25E65,FT_RSD,2028,11.881101853984
Mitigation_CAP21_A25E65,FT_RSD,2029,7.99399208484178
Mitigation_CAP21_A25E65,FT_RSD,2030,4.15559072676616
